33	44				
34	96				
51	97	769			
46	97	770			
56	97	772	769		
40	97	772			
52	97	803	769		
47	97	803	770		
57	97	803	772	769	
41	97	803	772		
36	97	803			
53	97	804	769		
48	97	804	770		
58	97	804	772	769	
42	97	804	772		
37	97	804			
54	97	6839	769		
49	97	6839	770		
59	97	6839	772	769	
43	97	6839	772		
38	97	6839			
55	97	6840	769		
50	97	6840	770		
60	97	6840	772	769	
44	97	6840	772		
39	97	6840			
35	97				
64	98				
65	100				
81	101	769			
76	101	770			
86	101	772	769		
71	101	772			
82	101	803	769		
77	101	803	770		
87	101	803	772	769	
72	101	803	772		
67	101	803			
83	101	804	769		
78	101	804	770		
88	101	804	772	769	
73	101	804	772		
68	101	804			
84	101	6839	769		
79	101	6839	770		
89	101	6839	772	769	
74	101	6839	772		
69	101	6839			
85	101	6840	769		
80	101	6840	770		
90	101	6840	772	769	
75	101	6840	772		
70	101	6840			
66	101				
94	102	772			
93	102				
95	103				
96	104				
114	105	769			
109	105	770			
119	105	772	769		
104	105	772			
115	105	803	769		
110	105	803	770		
120	105	803	772	769	
105	105	803	772		
100	105	803			
116	105	804	769		
111	105	804	770		
121	105	804	772	769	
106	105	804	772		
101	105	804			
117	105	6839	769		
112	105	6839	770		
122	105	6839	772	769	
107	105	6839	772		
102	105	6839			
118	105	6840	769		
113	105	6840	770		
124	105	6840	772	769	
108	105	6840	772		
103	105	6840			
99	105				
126	106				
197	107	772			
196	107				
201	108	772			
209	108	805			
199	108				
220	109	772			
214	109				
224	110	772			
225	110				
246	111	769			
239	111	770			
252	111	772	769		
234	111	772			
8805	111	776	769		
198	111	776	770		
8719	111	776	772	769	
169	111	776	772		
167	111	776			
245	111	803	769		
241	111	803	770		
8224	111	803	772	769	
235	111	803	772		
165	111	803	776	769	
216	111	803	776	770	
960	111	803	776	772	769
8482	111	803	776	772	
8226	111	803	776		
229	111	803			
250	111	804	769		
243	111	804	770		
176	111	804	772	769	
237	111	804	772		
181	111	804	776	769	
956	111	804	776	769	
8734	111	804	776	770	
8747	111	804	776	772	769
180	111	804	776	772	
182	111	804	776		
231	111	804			
249	111	6839	769		
242	111	6839	770		
162	111	6839	772	769	
236	111	6839	772		
8706	111	6839	776	769	
177	111	6839	776	770	
170	111	6839	776	772	769
168	111	6839	776	772	
223	111	6839	776		
233	111	6839			
251	111	6840	769		
244	111	6840	770		
163	111	6840	772	769	
238	111	6840	772		
8721	111	6840	776	769	
8804	111	6840	776	770	
186	111	6840	776	772	769
8800	111	6840	776	772	
174	111	6840	776		
232	111	6840			
227	111				
230	112	772			
937	112				
8486	112				
191	114	772			
161	114	805			
248	114				
8730	115	772			
8776	115	780	772		
402	115	780			
172	115				
187	116	772			
171	116				
255	117	769			
8221	117	770			
8250	117	772	769		
338	117	772			
218	117	776	769		
204	117	776	770		
732	117	776	772	769	
203	117	776	772		
8222	117	776			
376	117	803	769		
8216	117	803	770		
64257	117	803	772	769	
339	117	803	772		
219	117	803	776	769	
211	117	803	776	770	
175	117	803	776	772	769
200	117	803	776	772	
8240	117	803	776		
92	117	803			
8260	117	804	769		
8217	117	804	770		
64258	117	804	772	769	
8211	117	804	772		
217	117	804	776	769	
212	117	804	776	770	
728	117	804	776	772	769
205	117	804	776	772	
194	117	804	776		
192	117	804			
184	117	815	776		
8218	117	815			
8364	117	6839	769		
247	117	6839	770		
8225	117	6839	772	769	
8212	117	6839	772		
305	117	6839	776	769	
63743	117	6839	776	770	
729	117	6839	776	772	769
206	117	6839	776	772	
202	117	6839	776		
195	117	6839			
8249	117	6840	769		
9674	117	6840	770		
183	117	6840	772	769	
8220	117	6840	772		
710	117	6840	776	769	
210	117	6840	776	770	
730	117	6840	776	772	769
207	117	6840	776	772	
193	117	6840	776		
213	117	6840			
8230	117				
733	118				
731	119				
711	121				
63	230	772			
62	230				
228	331	772			
226	331				
8710	383				
916	383				
91	601				
125	619	772			
123	619				
98	967	772			
97	967				
45	67459				
61	7491				
